Designator,Val,Package,MidX,MidY,Rotation,Layer
"C4","0.1uF","C_0402_1005Metric",199.845000,-73.500000,0.000000,bottom
"C9","0.1uF","C_0402_1005Metric",181.480000,-74.500000,180.000000,bottom
"C11","0.1uF","C_0402_1005Metric",181.320000,-75.500000,180.000000,bottom
"C12","0.1uF","C_0402_1005Metric",200.345000,-76.000000,0.000000,bottom
"C30","1uF","C_0402_1005Metric",204.680000,-53.000000,180.000000,bottom
"C32","1uF","C_0402_1005Metric",223.725000,-93.000000,0.000000,bottom
"C35","2.2uF","C_0402_1005Metric",204.500000,-59.500000,0.000000,bottom
"C36","100nF","C_0402_1005Metric",206.320000,-59.500000,0.000000,bottom
"C39","2.2uF","C_0402_1005Metric",222.000000,-87.000000,180.000000,bottom
"C40","100nF","C_0402_1005Metric",204.500000,-60.500000,0.000000,bottom
"C43","100nF","C_0402_1005Metric",222.180000,-86.000000,180.000000,bottom
"C44","10nF","C_0402_1005Metric",206.320000,-60.500000,0.000000,bottom
"C45","10nF","C_0402_1005Metric",204.520000,-61.500000,0.000000,bottom
"C48","10nF","C_0402_1005Metric",222.020000,-85.000000,180.000000,bottom
"C50","0.1uF","C_0402_1005Metric",249.000000,-64.655000,90.000000,bottom
"FB1","FerriteBead","BEADC1608X95N",180.765000,-77.000000,180.000000,bottom
"FL2","BLM18KG601SH1D","BEADC1608X95N",205.500000,-57.000000,180.000000,bottom
"FL4","BLM18KG601SH1D","BEADC1608X95N",222.000000,-89.765000,90.000000,bottom
"J3","09452812810","hartingt1",244.351048,-74.819040,-90.000000,bottom
"R1","1k","R_0805_2012Metric",198.912500,-89.000000,0.000000,bottom
"R7","10k","R_0805_2012Metric",179.500000,-67.087500,90.000000,bottom
"R10","10k","R_0805_2012Metric",179.087500,-79.000000,0.000000,bottom
"R20","2.2k","R_0805_2012Metric",211.500000,-89.000000,180.000000,bottom
"R21","2.49k","R_0805_2012Metric",245.500000,-97.000000,-90.000000,bottom
"R22","470","R_0805_2012Metric",250.000000,-95.500000,0.000000,bottom
"R24","2.49k","R_0805_2012Metric",250.000000,-98.500000,180.000000,bottom
"R30","330R","R_0805_2012Metric",247.000000,-64.500000,-90.000000,bottom
"C1","0.1uF","C_0402_1005Metric",183.500000,-84.155000,-90.000000,top
"C2","0.1uF","C_0402_1005Metric",195.161226,-83.510416,0.000000,top
"C3","1uF","C_0402_1005Metric",199.000000,-83.020000,-90.000000,top
"C5","0.1uF","C_0402_1005Metric",189.424407,-83.339365,-90.000000,top
"C6","1uF","C_0402_1005Metric",195.155000,-82.500000,0.000000,top
"C7","0.1uF","C_0402_1005Metric",186.655000,-87.000000,180.000000,top
"C8","0.1uF","C_0402_1005Metric",186.000000,-66.000000,90.000000,top
"C10","0.1uF","C_0402_1005Metric",188.345000,-67.345000,180.000000,top
"C13","22uF","C_0805_2012Metric",196.050000,-55.500000,0.000000,top
"C14","0.1uF","C_0402_1005Metric",199.000000,-80.000000,-90.000000,top
"C15","0.1uF","C_0402_1005Metric",194.000000,-69.655000,90.000000,top
"C16","10uF","C_0805_2012Metric",158.242500,-88.000000,180.000000,top
"C17","0.1uF","C_0402_1005Metric",156.432500,-90.000000,180.000000,top
"C18","4.7uF","C_0603_1608Metric",191.768206,-59.482971,90.000000,top
"C19","0.1uF","C_0402_1005Metric",190.500000,-60.155000,90.000000,top
"C20","1uF","C_0402_1005Metric",197.345000,-79.500000,0.000000,top
"C21","22uF","C_0805_2012Metric",166.776801,-96.198708,180.000000,top
"C22","0.1uF","C_0402_1005Metric",186.000000,-84.345000,-90.000000,top
"C23","0.1uF","C_0402_1005Metric",166.000000,-64.000000,-90.000000,top
"C24","16pf","C_0402_1005Metric",185.000000,-91.000000,180.000000,top
"C25","0.1uF","C_0402_1005Metric",156.000000,-83.845000,-90.000000,top
"C26","16pf","C_0402_1005Metric",191.500000,-93.500000,0.000000,top
"C27","0.1uF","C_0402_1005Metric",232.845000,-77.946400,0.000000,top
"C28","0.1uF","C_0402_1005Metric",232.845000,-76.946400,180.000000,top
"C29","4.7nF","C_0603_1608Metric",235.000000,-69.775000,90.000000,top
"C31","1uF","C_0402_1005Metric",224.000000,-58.500000,90.000000,top
"C33","10uF","C_0805_2012Metric",229.500000,-56.550000,-90.000000,top
"C34","1uF","C_0402_1005Metric",232.000000,-56.480000,-90.000000,top
"C37","2.2uF","C_0402_1005Metric",219.500000,-56.680000,-90.000000,top
"C38","2.2uF","C_0402_1005Metric",219.500000,-59.000000,-90.000000,top
"C41","100nF","C_0402_1005Metric",218.500000,-56.655000,-90.000000,top
"C42","100nF","C_0402_1005Metric",218.500000,-59.000000,-90.000000,top
"C46","10nF","C_0402_1005Metric",217.500000,-56.642074,-90.000000,top
"C47","10nF","C_0402_1005Metric",217.500000,-59.000000,-90.000000,top
"C49","10uF","C_0805_2012Metric",223.000000,-62.550000,90.000000,top
"D1","GREEN","LED_0603_1608Metric",174.212500,-65.000000,180.000000,top
"D2","GREEN","LED_0603_1608Metric",168.787500,-98.500000,0.000000,top
"D3","LED","LED_0603_1608Metric",250.500000,-96.500000,90.000000,top
"D4","LED","LED_0603_1608Metric",252.500000,-96.500000,-90.000000,top
"D5","LED","LED_0603_1608Metric",248.500000,-96.500000,-90.000000,top
"FB2","FerriteBead","BEADC1608X95N",161.087500,-85.765000,90.000000,top
"FL1","DLW32MH101XT2L","FIL_DLW32MH101XT2L",229.475000,-77.446400,0.000000,top
"FL3","BLM18KG601SH1D","BEADC1608X95N",221.500000,-58.000000,180.000000,top
"J2","Conn_01x08","PinHeader_1x08_P2.00mm_Horizontal",215.000000,-99.000000,-90.000000,top
"J4","UJ31-CH-3-SMT-TR","CUI_UJ31-CH-3-SMT-TR",157.075000,-73.900000,-90.000000,top
"L1","3.3uH","L_0603_1608Metric",194.500000,-59.175000,-90.000000,top
"L2","2.2uH","L_1008_2520Metric",171.000000,-90.075000,-90.000000,top
"R2","10k","R_0805_2012Metric",159.587500,-90.000000,0.000000,top
"R3","10k","R_0805_2012Metric",195.912500,-63.500000,180.000000,top
"R4","1k","R_0805_2012Metric",170.587500,-65.000000,0.000000,top
"R5","10k","R_0805_2012Metric",183.087500,-63.000000,180.000000,top
"R6","12k","R_0402_1005Metric",185.000000,-83.510000,90.000000,top
"R8","2k","R_0402_1005Metric",197.510000,-80.500000,180.000000,top
"R9","100k","R_0805_2012Metric",170.912500,-86.500000,0.000000,top
"R11","470k","R_0805_2012Metric",168.412500,-94.000000,0.000000,top
"R12","150k","R_0805_2012Metric",163.912500,-94.000000,0.000000,top
"R13","10k","R_0805_2012Metric",166.087500,-56.500000,0.000000,top
"R14","10k","R_0805_2012Metric",165.087500,-98.500000,0.000000,top
"R15","330R","R_0805_2012Metric",158.500000,-83.912500,90.000000,top
"R16","10k","R_0805_2012Metric",227.500000,-82.412500,-90.000000,top
"R17","1k 1%","R_0805_2012Metric",235.037195,-73.419188,90.000000,top
"R18","1k 1%","R_0805_2012Metric",233.000000,-74.500000,90.000000,top
"R19","100k 1%","R_0805_2012Metric",233.000000,-71.000000,90.000000,top
"R23","470","R_0805_2012Metric",246.000000,-99.000000,180.000000,top
"R25","470","R_0805_2012Metric",251.500000,-93.500000,180.000000,top
"R26","2.49k","R_0805_2012Metric",251.500000,-90.000000,0.000000,top
"R27","2.49k","R_0805_2012Metric",244.412500,-87.500000,180.000000,top
"R28","2.49k","R_0805_2012Metric",244.500000,-90.000000,180.000000,top
"R29","2.49k","R_0805_2012Metric",244.500000,-92.500000,180.000000,top
"U1","LAN7801-I/9JX","SQFN64_9JX_MCH",190.500000,-76.200000,180.000000,top
"U2","TPS62162QDSGRQ1","DSG0008A",165.087500,-88.399999,0.000000,top
"U3","93C56A-I/P","PDIP8_300MC_MCH",177.000000,-61.620000,180.000000,top
"U4","DP83TG720SWRHARQ1","VQFN36_6X6_TEX",219.500000,-75.500000,90.000000,top
"U5","TPS784105QWDRBRQ1","DRB0008J-IPC_A",227.000000,-60.825001,0.000000,top
"U6","219-5MST","SW5_219SMT",235.500000,-92.500000,0.000000,top
"XTAL1","ECS-250-18-36B2-CTY-TR","ECX-2236B2_ECS",188.009400,-92.143000,0.000000,top
