Ref,Val,Package,PosX,PosY,Rot,Side
"C4","0.1uF","C_0201_0603Metric",199.845000,-73.500000,0.000000,bottom
"C9","0.1uF","C_0201_0603Metric",181.680000,-74.500000,180.000000,bottom
"C11","0.1uF","C_0201_0603Metric",181.320000,-75.500000,180.000000,bottom
"C12","0.1uF","C_0201_0603Metric",200.345000,-76.000000,0.000000,bottom
"C29","4.7nF","C_0201_0603Metric",232.000000,-68.500000,90.000000,bottom
"C30","1uF","C_0201_0603Metric",204.680000,-53.000000,180.000000,bottom
"C32","1uF","C_0201_0603Metric",221.820000,-92.000000,0.000000,bottom
"C35","2.2uF","C_0201_0603Metric",204.500000,-59.500000,0.000000,bottom
"C36","100nF","C_0201_0603Metric",206.320000,-59.500000,0.000000,bottom
"C39","2.2uF","C_0201_0603Metric",222.000000,-87.000000,180.000000,bottom
"C40","100nF","C_0201_0603Metric",204.500000,-60.500000,0.000000,bottom
"C43","100nF","C_0201_0603Metric",222.180000,-86.000000,180.000000,bottom
"C44","10nF","C_0201_0603Metric",206.320000,-60.500000,0.000000,bottom
"C45","10nF","C_0201_0603Metric",204.500000,-61.500000,0.000000,bottom
"C48","10nF","C_0201_0603Metric",222.000000,-85.000000,180.000000,bottom
"C50","0.1uF","C_0201_0603Metric",249.000000,-62.655000,90.000000,bottom
"FB1","FerriteBead","BEADC1608X95N",180.765000,-77.000000,180.000000,bottom
"FL2","BLM18KG601SH1D","BEADC1608X95N",205.500000,-57.000000,180.000000,bottom
"FL4","BLM18KG601SH1D","BEADC1608X95N",222.000000,-89.765000,90.000000,bottom
"J3","09452812810","09452812810",244.350000,-74.850000,-90.000000,bottom
"R1","1k","R_0805_2012Metric",198.912500,-89.000000,0.000000,bottom
"R7","10k","R_0805_2012Metric",179.500000,-67.087500,90.000000,bottom
"R10","10k","R_0805_2012Metric",179.087500,-79.000000,0.000000,bottom
"R17","1k 1%","R_0805_2012Metric",232.000000,-71.946400,90.000000,bottom
"R18","1k 1%","R_0805_2012Metric",235.000000,-71.946400,90.000000,bottom
"R19","100k 1%","R_0805_2012Metric",235.000000,-67.912500,90.000000,bottom
"R20","2.2k","R_0805_2012Metric",211.500000,-89.000000,180.000000,bottom
"R21","2.49k","R_0805_2012Metric",245.500000,-96.087500,-90.000000,bottom
"R22","470","R_0805_2012Metric",250.000000,-95.500000,0.000000,bottom
"R24","2.49k","R_0805_2012Metric",250.000000,-98.500000,180.000000,bottom
"R30","330R","R_0805_2012Metric",247.000000,-62.500000,-90.000000,bottom
