"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2,C4,C5,C7,C8,C9,C10,C11,C12,C14,C15,C17,C19,C22,C23,C25,C27,C28,C50","0.1uF","~","Capacitor_SMD:C_0201_0603Metric","20",""
"C3,C6,C20,C30,C31,C32,C34","1uF","~","Capacitor_SMD:C_0201_0603Metric","7",""
"C13,C21","22uF","~","Capacitor_SMD:C_0201_0603Metric","2",""
"C16,C33,C49","10uF","~","Capacitor_SMD:C_0201_0603Metric","3",""
"C18","4.7uF","~","Capacitor_SMD:C_0201_0603Metric","1",""
"C24,C26","16pf","~","Capacitor_SMD:C_0201_0603Metric","2",""
"C29","4.7nF","~","Capacitor_SMD:C_0201_0603Metric","1",""
"C35,C37,C38,C39","2.2uF","~","Capacitor_SMD:C_0201_0603Metric","4",""
"C36,C40,C41,C42,C43","100nF","~","Capacitor_SMD:C_0201_0603Metric","5",""
"C44,C45,C46,C47,C48","10nF","~","-- mixed values --","5",""
"D1,D2","GREEN","~","LED_SMD:LED_0603_1608Metric","2",""
"D3,D4,D5","LED","~","LED_SMD:LED_0603_1608Metric","3",""
"FB1,FB2","FerriteBead","~","Capstone_Footprints:BEADC1608X95N","2",""
"FL1","DLW32MH101XT2L","","Capstone_Footprints:FIL_DLW32MH101XT2L","1",""
"FL2,FL3,FL4","BLM18KG601SH1D","","Capstone_Footprints:BEADC1608X95N","3",""
"J2","Conn_01x08","~","Connector_PinHeader_2.00mm:PinHeader_1x08_P2.00mm_Horizontal","1",""
"J3","09452812810","https://b2b.harting.com/files/download/PRD/PDF_TS/09452812810_100689697DRW003M.pdf?siteName=Ebusiness+Site&autoLogoutEnabled=false&autoLogoutTime=0&contextURL=https%3A%2F%2Fb2b.harting.com%2Febusiness%2Fen&maintenanceAnnouncement=%7B+%7D&showPrivacyEmailA","Capstone_Footprints:09452812810","1",""
"J4","UJ31-CH-3-SMT-TR","","Capstone_Footprints:CUI_UJ31-CH-3-SMT-TR","1",""
"L1","3.3uH","~","Inductor_SMD_Wurth:L_Wurth_WE-LQSH-3012","1",""
"L2","2.2uH","~","Inductor_SMD:L_1008_2520Metric","1",""
"R1,R4","1k","~","Resistor_SMD:R_0805_2012Metric","2",""
"R2,R3,R5,R7,R10,R13,R14,R16","10k","~","Resistor_SMD:R_0805_2012Metric","8",""
"R6","12k","~","Resistor_SMD:R_0402_1005Metric","1",""
"R8","2k","~","Resistor_SMD:R_0402_1005Metric","1",""
"R9","100k","~","Resistor_SMD:R_0805_2012Metric","1",""
"R11","470k","~","Resistor_SMD:R_0805_2012Metric","1",""
"R12","150k","~","Resistor_SMD:R_0805_2012Metric","1",""
"R15,R30","330R","~","Resistor_SMD:R_0805_2012Metric","2",""
"R17,R18","1k 1%","~","Resistor_SMD:R_0805_2012Metric","2",""
"R19","100k 1%","~","Resistor_SMD:R_0805_2012Metric","1",""
"R20","2.2k","~","Resistor_SMD:R_0805_2012Metric","1",""
"R21,R24,R26,R27,R28,R29","2.49k","~","Resistor_SMD:R_0805_2012Metric","6",""
"R22,R23,R25","470","~","Resistor_SMD:R_0805_2012Metric","3",""
"U1","LAN7801-I/9JX","LAN7801-I/9JX","Capstone_Footprints:SQFN64_9JX_MCH","1",""
"U2","TPS62162QDSGRQ1","TPS62162QDSGRQ1","Capstone_Footprints:DSG0008A","1",""
"U3","93C56A-I/P","93C56A-I/P","Capstone_Footprints:PDIP8_300MC_MCH","1",""
"U4","DP83TG720SWRHARQ1","DP83TG720SWRHARQ1","Capstone_Footprints:VQFN36_6X6_TEX","1",""
"U5","TPS784105QWDRBRQ1","TPS784105QWDRBRQ1","Capstone_Footprints:DRB0008J-IPC_A","1",""
"U6","219-5MST","219-5MST","Capstone_Footprints:SW5_219SMT","1",""
"XTAL1","ECS-250-18-36B2-CTY-TR","ECS-250-18-36B2-CTY-TR","Capstone_Footprints:ECX-2236B2_ECS","1",""
